student_id,lms_logins_per_week,attendance_rate,avg_submission_delay_days,gpa_trend,sleep_irregularity_score,social_activity_drop,sentiment_score,weekend_activity_ratio,burnout_score,burnout_level,dropout_probability
STU0050,2.71,0.663,1.04,0.062,0.681,0.256,0.594,0.544,58.7,Medium,0.455
STU0051,8.26,0.741,1.56,0.439,0.264,0.311,0.296,0.204,41.8,Medium,0.174
STU0052,8.56,0.883,1.07,0.135,0.259,0.045,0.57,0.213,29.1,Low,0.085
STU0053,5.91,0.934,0.19,0.289,0.411,0.12,0.627,0.645,39.5,Medium,0.195
STU0054,3.92,0.681,0.56,-0.071,0.253,0.499,0.914,0.192,52.4,Medium,0.429
STU0055,10.76,0.804,2.43,0.225,0.294,0.593,0.283,0.468,45.7,Medium,0.367
STU0056,2.94,0.668,2.96,0.084,0.437,0.098,0.33,0.707,66.8,High,0.632
STU0057,4.69,0.743,0.22,-0.285,0.493,0.304,0.752,0.169,42.7,Medium,0.322
STU0058,8.39,0.802,4.57,0.096,0.143,0.266,0.492,0.263,49.3,Medium,0.36
STU0059,9.5,0.854,0.6,-0.298,0.325,0.427,0.422,0.256,38.9,Medium,0.21
STU0060,11.06,1.0,1.63,-0.19,0.545,0.187,0.564,0.302,34.7,Medium,0.146
STU0061,4.06,0.622,2.09,0.057,0.428,0.41,0.626,0.406,62.3,Medium,0.454
STU0062,10.49,1.0,2.51,0.089,0.352,0.454,0.534,0.245,35.8,Medium,0.247
STU0063,7.06,0.507,4.37,-0.357,0.42,0.233,0.582,0.498,73.2,High,0.657
STU0064,7.0,0.566,0.56,0.316,0.103,0.413,0.449,0.519,43.5,Medium,0.231
STU0065,6.01,0.345,2.93,0.172,0.249,0.118,0.651,0.364,63.4,Medium,0.501
STU0066,10.59,0.628,0.21,-0.211,0.156,0.48,0.656,0.211,28.1,Low,0.058
STU0067,2.36,0.826,1.83,-0.461,0.338,0.058,0.292,0.627,57.0,Medium,0.465
STU0068,2.38,0.631,2.03,-0.043,0.636,0.476,0.543,0.359,72.6,High,0.71
STU0069,11.13,0.944,1.7,-0.134,0.139,0.477,0.375,0.108,35.0,Medium,0.17
STU0070,8.55,0.665,0.44,0.034,0.311,0.34,0.994,0.182,34.7,Medium,0.071
STU0071,11.78,0.494,3.1,-0.109,0.176,0.251,0.436,0.33,49.9,Medium,0.365
STU0072,9.74,0.744,0.28,-0.602,0.127,0.155,0.411,0.278,26.7,Low,0.076
STU0073,5.42,1.0,0.08,-0.117,0.38,0.411,0.48,0.205,40.5,Medium,0.244
STU0074,10.23,0.776,1.9,-0.092,0.112,0.032,0.545,0.316,33.3,Medium,0.135
STU0075,9.13,0.81,0.97,0.19,0.389,0.16,0.485,0.178,38.3,Medium,0.24
STU0076,4.73,0.768,2.84,-0.209,0.427,0.365,0.539,0.401,61.6,Medium,0.523
STU0077,6.51,0.299,0.73,0.504,0.181,0.169,0.321,0.302,50.1,Medium,0.375
STU0078,3.96,0.564,0.28,-0.573,0.32,0.181,0.376,0.421,48.8,Medium,0.381
STU0079,11.38,0.781,2.72,0.393,0.771,0.268,0.503,0.383,44.2,Medium,0.281
STU0080,12.88,0.681,1.19,-0.067,0.021,0.257,0.132,0.533,34.6,Medium,0.158
STU0081,12.77,0.73,0.31,0.258,0.251,0.051,0.801,0.43,22.1,Low,0.096
STU0082,3.2,0.872,1.91,0.024,0.753,0.212,0.387,0.465,66.3,High,0.606
STU0083,8.27,0.453,1.07,0.342,0.412,0.323,0.552,0.439,52.1,Medium,0.442
STU0084,12.58,1.0,1.39,-0.116,0.526,0.43,0.37,0.441,28.1,Low,0.163
STU0085,5.14,0.957,0.93,-0.33,0.631,0.56,0.17,0.48,53.8,Medium,0.449
STU0086,9.47,0.989,2.65,0.426,0.566,0.352,0.728,0.372,44.2,Medium,0.35
STU0087,3.52,0.265,2.65,-0.034,0.402,0.013,0.347,0.796,74.1,High,0.598
STU0088,8.37,0.654,1.85,0.066,0.47,0.716,0.281,0.393,58.8,Medium,0.496
STU0089,6.12,0.936,0.17,0.37,0.151,0.369,0.751,0.089,32.9,Low,0.152
STU0090,6.63,0.91,2.74,-0.31,0.263,0.179,0.767,0.208,44.2,Medium,0.387
STU0091,8.9,0.885,1.67,0.179,0.657,0.211,0.478,0.439,46.2,Medium,0.374
STU0092,7.03,0.632,1.79,-0.177,0.672,0.332,0.645,0.369,55.2,Medium,0.408
STU0093,9.82,0.741,0.68,-0.04,0.335,0.108,0.84,0.362,32.9,Low,0.18
STU0094,8.19,0.86,3.17,0.022,0.312,0.091,0.687,0.09,43.7,Medium,0.304
STU0095,1.66,0.402,1.94,-0.45,0.15,0.234,0.481,0.463,63.0,Medium,0.561
STU0096,7.79,0.776,0.18,-0.234,0.459,0.719,0.843,0.118,39.2,Medium,0.189
STU0097,9.6,0.755,0.79,0.405,0.021,0.404,0.367,0.685,33.5,Medium,0.187
STU0098,9.63,0.719,3.26,0.266,0.157,0.098,0.718,0.262,45.4,Medium,0.306
STU0099,9.59,1.0,0.07,-0.019,0.387,0.002,0.599,0.455,23.3,Low,0.055
STU0100,9.05,0.764,4.88,0.073,0.344,0.087,0.301,0.229,59.4,Medium,0.456
STU0101,5.08,0.607,1.71,-0.088,0.321,0.322,0.13,0.047,57.8,Medium,0.443
STU0102,6.83,0.865,1.5,0.407,0.272,0.185,0.458,0.184,45.0,Medium,0.372
STU0103,5.47,0.643,0.47,-0.06,0.056,0.465,0.545,0.326,42.7,Medium,0.231
STU0104,9.44,0.892,0.43,0.07,0.651,0.114,0.819,0.086,31.8,Low,0.099
STU0105,7.76,0.779,4.27,0.344,0.182,0.231,0.6,0.784,58.6,Medium,0.48
STU0106,10.13,0.97,0.53,-0.233,0.355,0.52,0.671,0.372,32.0,Low,0.112
STU0107,5.68,0.803,2.24,0.468,0.692,0.108,0.234,0.282,56.1,Medium,0.407
STU0108,7.56,1.0,0.75,-0.459,0.525,0.148,0.803,0.607,28.3,Low,0.109
STU0109,5.81,1.0,0.22,0.489,0.718,0.228,0.365,0.324,45.2,Medium,0.24
STU0110,12.31,0.789,0.02,-0.112,0.181,0.307,0.389,0.513,21.3,Low,0.0
STU0111,12.4,1.0,1.18,-0.073,0.228,0.24,0.451,0.147,26.5,Low,0.184
STU0112,1.75,0.732,5.58,-0.567,0.597,0.041,0.386,0.599,81.7,High,0.794
STU0113,3.96,0.56,0.69,-0.136,0.295,0.11,0.459,0.179,53.0,Medium,0.376
STU0114,3.37,0.35,0.66,-0.312,0.14,0.199,0.634,0.342,53.0,Medium,0.433
STU0115,1.15,0.858,0.63,-0.182,0.751,0.182,0.168,0.387,69.8,High,0.651
STU0116,10.72,0.882,1.1,-0.041,0.203,0.499,0.91,0.634,36.5,Medium,0.256
STU0117,10.21,0.962,0.87,0.287,0.333,0.599,0.514,0.435,34.1,Medium,0.17
STU0118,9.74,0.956,3.18,0.062,0.306,0.524,0.661,0.533,45.8,Medium,0.371
STU0119,8.4,0.503,1.06,0.092,0.398,0.095,0.086,0.25,52.6,Medium,0.305
STU0120,8.23,0.643,1.06,-0.329,0.172,0.552,0.2,0.563,48.4,Medium,0.302
STU0121,12.16,0.959,0.22,-0.264,0.168,0.277,0.94,0.505,11.7,Low,0.0
STU0122,6.46,1.0,6.09,0.54,0.183,0.167,0.042,0.166,58.5,Medium,0.497
STU0123,3.26,1.0,0.43,-0.221,0.727,0.243,0.648,0.456,45.7,Medium,0.275
STU0124,9.23,0.903,0.11,0.497,0.433,0.328,0.715,0.2,31.8,Low,0.161
STU0125,7.64,0.73,1.63,-0.073,0.343,0.563,0.256,0.404,52.4,Medium,0.374
STU0126,2.35,0.443,1.36,0.001,0.215,0.41,0.842,0.733,52.4,Medium,0.391
STU0127,5.14,0.687,0.8,0.321,0.614,0.01,0.627,0.461,51.2,Medium,0.441
STU0128,8.44,0.608,0.82,0.382,0.237,0.608,0.729,0.442,43.3,Medium,0.337
STU0129,12.66,1.0,2.31,-0.033,0.245,0.052,0.332,0.353,33.3,Medium,0.116
STU0130,5.82,0.601,0.33,-0.116,0.205,0.193,0.357,0.381,47.1,Medium,0.285
STU0131,4.39,0.61,2.57,-0.017,0.131,0.186,0.592,0.099,51.7,Medium,0.376
STU0132,10.51,1.0,1.57,0.101,0.43,0.284,0.73,0.273,25.2,Low,0.063
STU0133,4.95,0.337,0.81,0.267,0.542,0.269,0.658,0.446,58.8,Medium,0.453
STU0134,1.44,0.945,0.92,0.001,0.062,0.077,0.941,0.139,36.5,Medium,0.258
STU0135,9.12,0.664,0.44,0.186,0.23,0.642,0.685,0.464,42.1,Medium,0.294
STU0136,7.87,0.915,2.09,0.492,0.136,0.162,0.813,0.442,34.5,Medium,0.201
STU0137,7.92,0.992,1.08,0.114,0.22,0.257,0.858,0.12,32.8,Low,0.097
STU0138,10.25,0.68,0.58,0.093,0.154,0.098,0.803,0.608,22.9,Low,0.095
STU0139,8.68,0.665,1.36,-0.456,0.278,0.046,0.673,0.11,41.3,Medium,0.125
STU0140,8.15,0.401,8.19,-0.789,0.666,0.02,0.0,0.231,83.6,High,0.836
STU0141,6.31,0.886,0.86,0.117,0.181,0.458,0.929,0.194,29.6,Low,0.167
STU0142,4.27,0.627,3.8,-0.028,0.489,0.299,0.298,0.267,78.6,High,0.711
STU0143,1.57,1.0,0.63,-0.154,0.395,0.201,0.523,0.287,49.0,Medium,0.426
STU0144,8.9,0.724,0.08,0.073,0.663,0.106,0.371,0.571,43.1,Medium,0.286
STU0145,7.63,0.915,0.34,-0.018,0.06,0.102,0.521,0.508,24.9,Low,0.064
STU0146,4.36,0.402,0.81,0.338,0.049,0.096,0.299,0.66,57.3,Medium,0.483
STU0147,2.07,0.822,0.37,0.026,0.226,0.093,0.615,0.21,41.3,Medium,0.426
STU0148,6.48,0.918,0.0,-0.224,0.315,0.169,0.645,0.292,35.0,Medium,0.255
STU0149,9.54,0.739,3.7,0.297,0.432,0.124,0.462,0.043,55.9,Medium,0.483
STU0150,9.07,0.589,2.79,-0.065,0.138,0.612,0.572,0.08,49.9,Medium,0.328
STU0151,3.72,0.627,2.03,0.158,0.029,0.217,0.134,0.426,64.7,Medium,0.566
STU0152,5.43,0.514,0.28,-0.143,0.843,0.192,0.799,0.706,56.2,Medium,0.412
STU0153,3.83,0.85,0.19,-0.195,0.22,0.099,0.413,0.223,43.7,Medium,0.337
STU0154,2.21,0.599,0.1,0.025,0.584,0.554,0.546,0.75,58.3,Medium,0.485
STU0155,12.52,0.258,1.93,0.004,0.118,0.124,0.673,0.128,47.3,Medium,0.285
STU0156,4.99,0.713,3.96,0.144,0.262,0.141,0.194,0.279,62.7,Medium,0.538
STU0157,10.7,0.782,0.84,-0.081,0.08,0.022,0.528,0.233,28.8,Low,0.067
STU0158,5.07,0.808,0.19,-0.551,0.77,0.146,0.659,0.347,45.0,Medium,0.321
STU0159,8.97,0.779,1.08,-0.13,0.2,0.056,0.668,0.476,30.1,Low,0.084
STU0160,9.61,0.973,0.64,0.238,0.203,0.224,0.44,0.234,30.7,Low,0.136
STU0161,7.66,0.362,0.7,-0.089,0.118,0.4,0.408,0.878,53.3,Medium,0.453
STU0162,9.0,1.0,1.46,-0.074,0.229,0.161,0.182,0.504,32.6,Low,0.154
STU0163,9.15,0.882,1.9,0.296,0.431,0.173,0.19,0.151,48.7,Medium,0.339
STU0164,9.87,0.691,0.18,-0.214,0.363,0.082,0.432,0.138,37.2,Medium,0.225
STU0165,2.91,0.553,0.05,-0.463,0.485,0.615,0.69,0.423,56.3,Medium,0.489
STU0166,3.59,0.735,7.76,-0.048,0.169,0.542,0.103,0.056,83.9,High,0.743
STU0167,13.41,0.947,0.4,-0.145,0.208,0.409,0.581,0.718,15.3,Low,0.0
STU0168,1.37,0.621,0.08,-0.29,0.347,0.385,0.638,0.48,54.2,Medium,0.494
STU0169,3.96,0.974,0.32,-0.053,0.524,0.084,0.466,0.387,45.3,Medium,0.345
STU0170,8.26,0.874,0.06,0.147,0.326,0.339,0.42,0.268,32.6,Low,0.161
STU0171,8.55,0.787,0.75,-0.003,0.032,0.31,0.581,0.375,33.0,Low,0.194
STU0172,10.6,0.292,2.43,0.092,0.393,0.355,0.772,0.353,54.9,Medium,0.459
STU0173,9.22,1.0,0.63,0.544,0.25,0.016,0.804,0.684,21.4,Low,0.056
STU0174,11.12,0.786,0.88,-0.103,0.328,0.136,0.762,0.278,30.6,Low,0.031
STU0175,4.1,0.696,1.69,0.084,0.283,0.071,0.841,0.143,47.5,Medium,0.266
STU0176,0.78,0.586,1.07,-0.153,0.275,0.133,0.495,0.219,61.3,Medium,0.567
STU0177,10.86,0.406,2.96,-0.254,0.329,0.169,0.485,0.399,56.9,Medium,0.386
STU0178,5.51,0.845,3.02,-0.175,0.559,0.262,0.623,0.31,61.0,Medium,0.532
STU0179,3.68,0.776,0.01,-0.144,0.111,0.342,0.369,0.197,47.0,Medium,0.32
STU0180,11.36,0.567,2.26,0.108,0.24,0.538,0.477,0.149,44.2,Medium,0.252
STU0181,4.38,0.728,0.93,0.705,0.102,0.114,0.565,0.36,44.9,Medium,0.329
STU0182,4.63,0.728,6.74,-0.215,0.239,0.404,0.119,0.233,73.6,High,0.68
STU0183,7.79,0.752,0.99,-0.125,0.327,0.258,0.526,0.253,38.1,Medium,0.331
STU0184,9.55,0.911,6.5,-0.019,0.113,0.023,0.38,0.473,49.0,Medium,0.331
STU0185,7.02,0.507,2.11,0.119,0.381,0.268,0.504,0.212,54.6,Medium,0.505
STU0186,10.92,0.772,0.43,0.079,0.387,0.514,0.8,0.479,34.5,Medium,0.199
STU0187,3.21,0.994,1.16,0.385,0.136,0.496,0.272,0.569,52.3,Medium,0.37
STU0188,10.18,0.716,7.27,-0.728,0.269,0.193,0.379,0.43,52.4,Medium,0.445
STU0189,11.41,0.571,2.92,-0.716,0.029,0.235,0.606,0.119,38.6,Medium,0.261
STU0190,7.92,0.729,0.15,-0.149,0.136,0.396,0.753,0.337,28.6,Low,0.109
STU0191,8.48,0.547,1.84,0.329,0.211,0.361,0.301,0.374,50.7,Medium,0.397
STU0192,3.27,1.0,0.64,-0.47,0.189,0.288,0.818,0.404,39.4,Medium,0.213
STU0193,13.42,0.559,0.01,-0.902,0.044,0.161,0.453,0.131,22.2,Low,0.0
STU0194,4.7,0.949,0.77,0.171,0.095,0.458,0.778,0.556,35.9,Medium,0.236
STU0195,6.29,0.402,0.4,0.073,0.244,0.151,0.55,0.683,52.0,Medium,0.389
STU0196,11.54,0.792,2.56,-0.327,0.603,0.446,0.458,0.133,42.1,Medium,0.273
STU0197,4.36,0.796,0.62,-0.296,0.504,0.076,0.454,0.185,52.5,Medium,0.421
STU0198,7.4,0.797,2.64,-0.291,0.309,0.373,0.726,0.283,47.1,Medium,0.353
STU0199,3.55,0.814,0.0,0.033,0.44,0.069,0.393,0.148,46.2,Medium,0.256
STU0200,9.28,0.796,0.55,-0.188,0.618,0.429,0.823,0.075,37.5,Medium,0.283
STU0201,11.26,0.729,0.41,0.148,0.085,0.544,0.249,0.59,38.7,Medium,0.24
STU0202,3.36,0.82,0.4,-0.856,0.663,0.253,0.67,0.13,48.3,Medium,0.343
STU0203,1.7,0.871,0.11,-0.257,0.483,0.363,0.705,0.729,50.5,Medium,0.402
STU0204,0.45,0.547,0.31,-0.338,0.546,0.514,0.41,0.12,71.4,High,0.655
STU0205,4.49,0.924,1.22,-0.077,0.093,0.483,0.084,0.545,45.5,Medium,0.358
STU0206,6.91,0.772,0.52,-0.161,0.214,0.125,0.261,0.048,37.7,Medium,0.249
STU0207,12.3,0.783,0.81,0.239,0.55,0.196,0.382,0.311,34.7,Medium,0.219
STU0208,7.96,0.956,0.71,-0.558,0.305,0.584,0.947,0.495,30.4,Low,0.198
STU0209,7.78,0.954,3.13,0.014,0.287,0.245,0.518,0.241,44.5,Medium,0.351
STU0210,10.29,0.71,3.54,0.168,0.614,0.358,0.366,0.151,58.4,Medium,0.471
STU0211,8.25,0.546,1.02,0.557,0.256,0.167,0.743,0.129,42.9,Medium,0.23
STU0212,5.33,0.848,0.6,-0.145,0.395,0.26,0.747,0.224,40.5,Medium,0.34
STU0213,4.55,0.894,0.17,0.097,0.65,0.609,0.408,0.719,57.1,Medium,0.452
STU0214,10.23,1.0,4.6,-0.541,0.696,0.203,0.258,0.777,55.5,Medium,0.421
STU0215,9.77,0.538,0.09,-0.718,0.132,0.252,0.504,0.196,30.8,Low,0.049
STU0216,2.37,0.793,0.53,0.253,0.245,0.211,0.725,0.252,52.0,Medium,0.417
STU0217,7.77,0.357,0.53,-0.002,0.483,0.45,0.213,0.273,57.5,Medium,0.476
STU0218,5.04,0.479,0.58,0.354,0.733,0.326,0.798,0.432,54.6,Medium,0.357
STU0219,11.19,1.0,0.27,-0.412,0.133,0.166,0.711,0.571,11.2,Low,0.0
STU0220,3.35,0.955,2.29,0.156,0.484,0.048,0.613,0.83,56.1,Medium,0.427
STU0221,10.16,0.966,0.2,0.561,0.275,0.263,0.498,0.279,25.1,Low,0.198
STU0222,12.34,0.839,1.51,0.126,0.632,0.424,0.532,0.52,39.1,Medium,0.21
STU0223,5.27,0.568,0.2,0.083,0.15,0.232,0.514,0.38,44.3,Medium,0.282
STU0224,6.45,0.499,0.11,0.003,0.639,0.36,0.432,0.408,58.7,Medium,0.44
STU0225,7.87,1.0,3.6,-0.471,0.507,0.248,0.067,0.204,57.7,Medium,0.535
STU0226,7.55,1.0,0.32,0.407,0.237,0.398,0.821,0.327,35.8,Medium,0.178
STU0227,2.16,0.566,2.58,-0.183,0.057,0.471,0.581,0.545,65.3,Medium,0.53
STU0228,5.23,0.806,1.18,0.151,0.425,0.029,0.651,0.485,47.9,Medium,0.385
STU0229,10.45,0.439,0.12,-0.469,0.287,0.202,0.742,0.498,37.4,Medium,0.149
STU0230,6.62,0.886,4.67,-0.354,0.035,0.194,0.467,0.499,54.4,Medium,0.461
STU0231,11.71,0.877,0.43,0.431,0.652,0.242,0.597,0.323,30.1,Low,0.215
STU0232,9.67,0.775,2.95,-0.104,0.248,0.109,0.172,0.6,49.2,Medium,0.394
STU0233,5.55,0.805,0.28,0.436,0.632,0.314,0.425,0.212,51.5,Medium,0.426
STU0234,4.75,0.45,2.89,-0.023,0.439,0.145,0.541,0.367,65.5,Medium,0.612
STU0235,2.86,0.953,0.02,-0.553,0.645,0.265,0.779,0.314,46.6,Medium,0.418
STU0236,2.95,0.905,1.08,0.268,0.01,0.232,0.374,0.353,48.8,Medium,0.42
STU0237,6.59,0.818,2.2,-0.177,0.355,0.086,0.863,0.368,49.4,Medium,0.39
STU0238,6.17,0.72,4.1,0.21,0.787,0.179,0.668,0.177,71.3,High,0.687
STU0239,6.29,0.965,3.6,0.008,0.144,0.397,0.351,0.343,59.5,Medium,0.45
STU0240,9.81,0.749,2.57,-0.463,0.353,0.155,0.697,0.43,40.6,Medium,0.296
STU0241,7.55,0.822,3.29,0.049,0.085,0.332,0.469,0.165,51.7,Medium,0.346
STU0242,9.95,0.427,0.33,0.659,0.756,0.259,0.367,0.34,56.4,Medium,0.436
STU0243,7.34,0.76,0.5,0.148,0.242,0.028,0.343,0.637,35.3,Medium,0.037
STU0244,6.53,0.972,0.51,-0.017,0.363,0.04,0.681,0.433,31.0,Low,0.158
STU0245,6.94,0.335,0.71,0.323,0.315,0.08,0.664,0.215,54.1,Medium,0.394
STU0246,5.11,0.385,0.75,0.063,0.488,0.078,0.344,0.194,56.7,Medium,0.514
STU0247,11.76,0.794,1.18,0.063,0.177,0.777,0.58,0.418,31.7,Low,0.165
STU0248,5.19,0.663,0.26,-0.327,0.343,0.376,0.766,0.88,49.8,Medium,0.429
STU0249,8.34,1.0,1.76,0.07,0.305,0.21,0.458,0.242,41.6,Medium,0.216
STU0250,4.75,0.661,0.28,0.311,0.048,0.217,0.615,0.266,41.8,Medium,0.324
STU0251,11.59,0.919,0.56,-0.251,0.025,0.177,0.501,0.347,19.7,Low,0.102
STU0252,2.91,0.778,1.05,0.427,0.396,0.419,0.752,0.336,52.0,Medium,0.439
STU0253,3.96,0.866,2.39,-0.028,0.033,0.154,0.47,0.31,49.6,Medium,0.409
STU0254,9.49,1.0,2.02,-0.266,0.265,0.22,0.081,0.183,45.7,Medium,0.329
STU0255,7.62,0.909,1.56,0.299,0.126,0.392,0.869,0.28,35.2,Medium,0.164
STU0256,5.13,0.398,0.25,-0.086,0.359,0.203,0.356,0.679,62.0,Medium,0.564
STU0257,9.03,0.702,1.19,0.228,0.496,0.057,0.281,0.386,42.5,Medium,0.206
STU0258,6.44,0.993,0.14,-0.088,0.492,0.57,0.65,0.102,39.9,Medium,0.228
STU0259,5.4,0.852,0.71,-0.018,0.427,0.285,0.333,0.461,47.1,Medium,0.25
STU0260,5.53,0.833,0.8,0.148,0.375,0.385,0.819,0.826,39.6,Medium,0.209
STU0261,10.62,1.0,0.06,0.087,0.538,0.375,0.411,0.686,30.7,Low,0.166
STU0262,9.0,0.688,0.48,-0.599,0.38,0.429,0.781,0.308,39.3,Medium,0.267
STU0263,8.74,0.786,4.67,-0.336,0.2,0.092,0.13,0.146,60.0,Medium,0.503
STU0264,7.16,0.603,4.61,0.279,0.033,0.069,0.385,0.612,66.2,High,0.586
STU0265,6.54,0.948,0.65,-0.04,0.616,0.574,0.742,0.568,46.3,Medium,0.234
STU0266,4.52,0.695,0.07,-0.157,0.77,0.313,0.685,0.019,56.9,Medium,0.443
STU0267,11.13,0.927,0.3,-0.408,0.214,0.133,0.312,0.56,25.2,Low,0.031
STU0268,2.72,0.418,0.75,-0.324,0.224,0.238,0.649,0.187,62.3,Medium,0.496
STU0269,1.96,0.924,4.43,-0.607,0.345,0.499,0.668,0.164,77.7,High,0.751
STU0270,8.86,0.653,0.23,-0.03,0.383,0.208,0.444,0.28,41.2,Medium,0.221
STU0271,5.63,0.749,2.16,-0.18,0.227,0.637,0.279,0.428,56.3,Medium,0.424
STU0272,11.3,1.0,0.17,-0.29,0.671,0.089,0.349,0.216,28.2,Low,0.0
STU0273,9.34,1.0,5.97,-0.02,0.5,0.033,0.427,0.666,55.3,Medium,0.426
STU0274,6.56,0.821,0.72,0.109,0.294,0.381,0.655,0.481,42.2,Medium,0.223
STU0275,9.47,0.709,2.24,0.628,0.452,0.183,0.589,0.185,48.4,Medium,0.359
STU0276,10.45,0.795,0.63,-0.454,0.436,0.567,0.552,0.61,39.9,Medium,0.201
STU0277,10.37,0.922,1.48,0.348,0.367,0.094,0.582,0.503,32.0,Low,0.155
STU0278,6.26,0.94,0.32,0.292,0.569,0.253,0.463,0.352,40.7,Medium,0.251
STU0279,2.28,0.872,0.24,-0.234,0.101,0.475,0.686,0.336,45.2,Medium,0.399
STU0280,0.41,0.608,4.17,0.061,0.502,0.123,0.25,0.619,90.1,High,0.902
